gene_id,symbol,origin,categories_matchees,mots_cles
A0A803ME73,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A0A7DNE1,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L6Z1,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803LUM8,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MC37,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803N4M2,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803KNK2,,sequence_backed,lignification,lignification:peroxidase
A0A803KQP2,,sequence_backed,lignification,lignification:peroxidase
A0A803KS44,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803KTK2,,sequence_backed,lignification,lignification:peroxidase
A0A803KVE5,,sequence_backed,lignification,lignification:peroxidase
A0A803KW45,,sequence_backed,lignification,lignification:peroxidase
A0A803KXA1,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803KYJ6,,sequence_backed,lignification,lignification:cell wall;lignification:lignin;lignification:peroxidase
A0A803KYS1,,sequence_backed,lignification,lignification:cell wall
A0A803L1Y4,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L399,,sequence_backed,lignification,lignification:peroxidase
A0A803L3A3,,sequence_backed,lignification,lignification:peroxidase
A0A803L3A4,,sequence_backed,lignification,lignification:peroxidase
A0A803L6Y1,,sequence_backed,lignification,lignification:cell wall;lignification:lignin;lignification:peroxidase
A0A803L7H1,,sequence_backed,lignification,lignification:peroxidase
A0A803L9J5,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LJE5,,sequence_backed,lignification,lignification:peroxidase
A0A803LM42,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LNN8,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LRT9,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LUL1,,sequence_backed,lignification,lignification:cell wall
A0A803LUL2,,sequence_backed,lignification,lignification:cell wall
A0A803LV45,,sequence_backed,lignification,lignification:cell wall
A0A803LWJ7,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LX92,,sequence_backed,lignification,lignification:cell wall;lignification:laccase;lignification:lignin
A0A803M0S5,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803M236,,sequence_backed,lignification,lignification:peroxidase
A0A803M438,,sequence_backed,lignification,lignification:peroxidase
A0A803M5G0,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803M6H9,,sequence_backed,lignification,lignification:peroxidase
A0A803M6P0,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803M791,,sequence_backed,lignification,lignification:cell wall
A0A803M8B9,,sequence_backed,lignification,lignification:cell wall
A0A803MA19,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803MBU9,,sequence_backed,lignification,lignification:peroxidase
A0A803MDR1,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803ME15,,sequence_backed,lignification,lignification:cell wall;lignification:cellulose synthase
A0A803MEY4,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MGT7,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MHS8,,sequence_backed,lignification,lignification:peroxidase
A0A803MHS9,,sequence_backed,lignification,lignification:peroxidase
A0A803MJQ5,,sequence_backed,lignification,lignification:cell wall;lignification:cellulose synthase
A0A803MKI1,,sequence_backed,lignification,lignification:cell wall
A0A803MR28,,sequence_backed,lignification,lignification:cell wall
A0A803MSH4,,sequence_backed,lignification,lignification:cell wall;lignification:lignin;lignification:peroxidase
A0A803MSQ3,,sequence_backed,lignification,lignification:peroxidase
A0A803MWT7,,sequence_backed,lignification,lignification:peroxidase
A0A803MXZ2,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MZH7,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803N0J9,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803N255,,sequence_backed,lignification,lignification:peroxidase
A0A803N2C1,,sequence_backed,lignification,lignification:peroxidase
A0A803N309,,sequence_backed,lignification,lignification:peroxidase
A0A803N3I3,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803N3W7,,sequence_backed,lignification,lignification:cell wall;lignification:secondary cell wall
A0A803N4T1,,sequence_backed,lignification,lignification:peroxidase
A0A803N545,,sequence_backed,lignification,lignification:cell wall;lignification:laccase;lignification:lignin
A0A803N546,,sequence_backed,lignification,lignification:cell wall;lignification:laccase;lignification:lignin
A0A803N9F4,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803NDL0,,sequence_backed,lignification,lignification:peroxidase
A0A803NE62,,sequence_backed,lignification,lignification:peroxidase
A0A803NF05,,sequence_backed,lignification,lignification:peroxidase
A0A1X9WDC2,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A1X9WDD0,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A1X9WDE4,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803KN89,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803KRZ9,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803KX89,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803KYF8,,sequence_backed,lignification,lignification:lignin
A0A803KYM4,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L197,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L285,,sequence_backed,lignification,lignification:peroxidase
A0A803L2W9,,sequence_backed,lignification,lignification:peroxidase
A0A803L3A1,,sequence_backed,lignification,lignification:peroxidase
A0A803L3A5,,sequence_backed,lignification,lignification:peroxidase
A0A803L3D5,,sequence_backed,lignification,lignification:peroxidase
A0A803L448,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L4F1,,sequence_backed,lignification,lignification:peroxidase
A0A803L4L2,,sequence_backed,lignification,lignification:peroxidase
A0A803L5V0,,sequence_backed,lignification,lignification:peroxidase
A0A803L6Y0,,sequence_backed,lignification,lignification:cell wall;lignification:lignin;lignification:peroxidase
A0A803L6Y8,,sequence_backed,lignification,lignification:lignin
A0A803L8M5,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803L8Q7,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LBZ7,,sequence_backed,lignification,lignification:cell wall;lignification:cellulose synthase
A0A803LCY4,,sequence_backed,lignification,lignification:peroxidase
A0A803LD01,,sequence_backed,lignification,lignification:peroxidase
A0A803LD44,,sequence_backed,lignification,lignification:peroxidase
A0A803LJW6,,sequence_backed,hormonal,hormonal:brassinosteroid
A0A803LK53,,sequence_backed,lignification,lignification:cell wall;lignification:lignin
A0A803LMZ8,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LS48,,sequence_backed,lignification,lignification:cell wall
A0A803LS50,,sequence_backed,lignification,lignification:cell wall
A0A803LSV4,,sequence_backed,lignification,lignification:cell wall
A0A803LTI2,,sequence_backed,lignification,lignification:cell wall
A0A803LVC4,,sequence_backed,lignification,lignification:peroxidase
A0A803LVC5,,sequence_backed,lignification,lignification:peroxidase
A0A803LW66,,sequence_backed,rigidite_tige,rigidite_tige:verse
A0A803LX17,,sequence_backed,lignification,lignification:cell wall;lignification:laccase;lignification:lignin
A0A803LXZ3,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803LYZ6,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803M0L3,,sequence_backed,lignification,lignification:peroxidase
A0A803M220,,sequence_backed,lignification,lignification:cell wall
A0A803M439,,sequence_backed,lignification,lignification:peroxidase
A0A803M440,,sequence_backed,lignification,lignification:peroxidase
A0A803M5V2,,sequence_backed,lignification,lignification:peroxidase
A0A803M6H8,,sequence_backed,lignification,lignification:peroxidase
A0A803M6I0,,sequence_backed,lignification,lignification:peroxidase
A0A803M8V4,,sequence_backed,lignification,lignification:cell wall
A0A803M9R8,,sequence_backed,lignification,lignification:peroxidase
A0A803M9T0,,sequence_backed,lignification,lignification:peroxidase
A0A803MBT0,,sequence_backed,lignification,lignification:peroxidase
A0A803MCM4,,sequence_backed,lignification,lignification:peroxidase
A0A803MFB0,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MGI3,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MH41,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MHF1,,sequence_backed,lignification,lignification:peroxidase
A0A803MUA3,,sequence_backed,hormonal,hormonal:gibberellin
A0A803MWV5,,sequence_backed,rigidite_tige,rigidite_tige:stem
A0A803MXP0,,sequence_backed,rigidite_tige,rigidite_tige:stem
