gene_id,common_name,score,n_categories,n_tier_a_keywords,n_pmids,categories,mots_cles
A0A803LX92,IRX12: Laccase-4,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803N545,LAC17: Laccase-17,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803N546,LAC4: Laccase-4,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803KYF8,LAC11: Laccase-11,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803L6Y8,LAC11: Laccase-11,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803LX17,LAC17: Laccase-17,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803MZU0,KAO1: Ent-kaurenoic acid oxidase 1,6,1,2,0,hormonal,hormonal:brassinosteroid;hormonal:gibberellin
A0A803NBE9,KAO1: Ent-kaurenoic acid oxidase 1,6,1,2,0,hormonal,hormonal:brassinosteroid;hormonal:gibberellin
A0A803KYK3,LAC11: Laccase-11,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803KZQ5,LAC6: Laccase-6,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803M3E1,LAC6: Laccase-6,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803M3N7,LAC22: Laccase-22,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803M405,LAC12: Laccase-12,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803M4G5,KAO1: Ent-kaurenoic acid oxidase 1,6,1,2,0,hormonal,hormonal:brassinosteroid;hormonal:gibberellin
A0A803L6U1,LAC11: Laccase-11,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803MQL5,LAC17: Laccase-17,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803N6S0,LAC17: Laccase-17,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803N6S3,LAC4: Laccase-4,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803KS64,LAC3: Laccase-3,6,1,2,0,lignification,lignification:laccase;lignification:lignin
A0A803KYJ6,PER20: Peroxidase 20,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803L6Y1,GSVIVT00023967001: Peroxidase 4,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803MSH4,PER9: Peroxidase 9,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803L6Y0,PER20: Peroxidase 20,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803M6H8,Lignin-forming anionic peroxidase,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803KYJ7,GSVIVT00023967001: Peroxidase 4,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803L6Y2,PER72: Peroxidase 72,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803LKH7,PER9: Peroxidase 9,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
A0A803KYJ8,PER72: Peroxidase 72,4,1,1,0,lignification,lignification:lignin;lignification:peroxidase
