key,status,merged_into_gene_id
A0A0A7DNE1,truly_missing,
A0A0G2UR69,truly_missing,
A0A0M3PSK5,truly_missing,
A0A0M4B1M0,truly_missing,
A0A0U1YJA7,merged_as_alt_id,WOW88860.1
A0A1E1ERU3,merged_as_alt_id,A0A1E1ERU6
A0A1E1ERU7,truly_missing,
A0A1X9WDB2,merged_as_alt_id,WXH74529.1
A0A1X9WDB3,merged_as_alt_id,GeneID:32958923
A0A1X9WDB4,merged_as_alt_id,WXH74528.1
A0A1X9WDB6,merged_as_alt_id,WXH74526.1
A0A1X9WDB7,truly_missing,
A0A1X9WDB8,truly_missing,
A0A1X9WDB9,truly_missing,
A0A1X9WDC0,merged_as_alt_id,WXH74532.1
A0A1X9WDC1,merged_as_alt_id,WXH74530.1
A0A1X9WDC2,merged_as_alt_id,WXH74537.1
A0A1X9WDC3,truly_missing,
A0A1X9WDC4,truly_missing,
A0A1X9WDC5,merged_as_alt_id,WXH74533.1
A0A1X9WDC6,merged_as_alt_id,WXH74536.1
A0A1X9WDC7,merged_as_alt_id,WXH74538.1
A0A1X9WDC8,merged_as_alt_id,WXH74539.1
A0A1X9WDC9,merged_as_alt_id,WXH74541.1
A0A1X9WDD0,merged_as_alt_id,WXH74540.1
A0A1X9WDD1,truly_missing,
A0A1X9WDD2,merged_as_alt_id,WXH74545.1
A0A1X9WDD3,merged_as_alt_id,WXH74546.1
A0A1X9WDD4,merged_as_alt_id,WXH74548.1
A0A1X9WDD5,merged_as_alt_id,WXH74544.1
A0A1X9WDD6,merged_as_alt_id,WXH74547.1
A0A1X9WDD7,merged_as_alt_id,WXH74543.1
A0A1X9WDD8,truly_missing,
A0A1X9WDD9,truly_missing,
A0A1X9WDE0,truly_missing,
A0A1X9WDE1,merged_as_alt_id,WXH74552.1
A0A1X9WDE2,truly_missing,
A0A1X9WDE3,truly_missing,
A0A1X9WDE4,truly_missing,
A0A1X9WDE5,truly_missing,
A0A1X9WDE6,merged_as_alt_id,WXH74557.1
A0A1X9WDE7,truly_missing,
A0A1X9WDE8,truly_missing,
A0A1X9WDE9,truly_missing,
A0A1X9WDF0,merged_as_alt_id,WXH74561.1
A0A1X9WDF1,truly_missing,
